country,URL,code,approved
Kentucky,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Kentucky,USA-KY,TRUE
Louisiana,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Louisiana,USA-LA,TRUE
Maine,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Maine,USA-ME,TRUE
Maryland,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Maryland,USA-MD,TRUE
Massachusetts,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Massachusetts,USA-MA,TRUE
Michigan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Michigan,USA-MI,TRUE
Minnesota,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Minnesota,USA-MN,TRUE
Mississippi,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Mississippi,USA-MS,TRUE
Missouri,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Missouri,USA-MO,TRUE
Montana,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Montana,USA-MT,TRUE
Nebraska,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Nebraska,USA-NE,TRUE
Nevada,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Nevada,USA-NV,TRUE
New Hampshire,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_New_Hampshire,USA-NH,TRUE
New Jersey,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_New_Jersey,USA-NJ,TRUE
New Mexico,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_New_Mexico,USA-NM,TRUE
North Carolina,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_North_Carolina,USA-NC,TRUE
North Dakota,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_North_Dakota,USA-ND,TRUE
Ohio,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Ohio,USA-OH,TRUE
Oklahoma,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Oklahoma,USA-OK,TRUE
Oregon,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Oregon,USA-OR,TRUE
Pennsylvania,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Pennsylvania,USA-PA,TRUE
Rhode Island,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Rhode_Island,USA-RI,TRUE
South Carolina,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_South_Carolina,USA-SC,TRUE
South Dakota,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_South_Dakota,USA-SD,TRUE
Tennessee,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Tennessee,USA-TN,TRUE
Texas,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Texas,USA-TX,TRUE
Virginia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Virginia,USA-VA,TRUE
West Virginia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_West_Virginia,USA-WV,TRUE
Wisconsin,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Wisconsin,USA-WI,TRUE
Wyoming,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Wyoming,USA-WY,TRUE
Akrotiri and Dhekelia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Akrotiri_and_Dhekelia,GBR-Akrotiri_and_Dhekelia,FALSE
"Albany County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Albany_County,_New_York","USA-Albany_County,_New_York",FALSE
Alberta,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Alberta,CAN-AB,FALSE
Assam,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Assam,IND-AS,FALSE
Bihar,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Bihar,IND-BR,FALSE
Boston,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Boston,USA-Boston,FALSE
British Columbia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_British_Columbia,CAN-BC,FALSE
British Overseas Territories,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_British_Overseas_Territories,GBR-British_Overseas_Territories,FALSE
"Columbia County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Columbia_County,_New_York","USA-Columbia_County,_New_York",FALSE
"Columbus, Ohio","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Columbus,_Ohio","USA-Columbus,_Ohio",FALSE
Crimea,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Crimea,UKR-Crimea,FALSE
Curacao,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Curaçao,CUW,FALSE
Delhi,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Delhi,IND-DL,FALSE
"Dutchess County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Dutchess_County,_New_York","USA-Dutchess_County,_New_York",FALSE
Timor-Leste,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_East_Timor,TLS,TRUE
Easter Island,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Easter_Island,CHL-Easter_Island,FALSE
"Erie County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Erie_County,_New_York","USA-Erie_County,_New_York",FALSE
Eswatini,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Eswatini,SWZ,TRUE
French Saint Martin,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_French_Saint_Martin,MAF,TRUE
"Genesee County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Genesee_County,_New_York","USA-Genesee_County,_New_York",FALSE
Georgia (U.S. state),https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Georgia_(U.S._state),USA-GA,TRUE
Georgia (country),https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Georgia_(country),GEO,TRUE
Haryana,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Haryana,IND-HR,FALSE
Heilongjiang,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Heilongjiang,CHN-HL,FALSE
Henan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Henan,CHN-HA,FALSE
Hong Kong,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Hong_Kong,CHN-HK,TRUE
Ivory Coast,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Ivory_Coast,CIV,TRUE
Kosovo,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Kosovo,KOS,TRUE
Liaoning,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Liaoning,CHN-LI,FALSE
London,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_London,GBR-London,FALSE
"Madison County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Madison_County,_New_York","USA-Madison_County,_New_York",FALSE
Manitoba,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Manitoba,CAN-MB,FALSE
"Monroe County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Monroe_County,_New_York","USA-Monroe_County,_New_York",FALSE
"Nassau County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Nassau_County,_New_York","USA-Nassau_County,_New_York",FALSE
New Brunswick,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_New_Brunswick,CAN-NB,FALSE
New York (state),https://en.wikipedia.org/wiki/COVID-19_pandemic_in_New_York_(state),USA-NY,TRUE
New York City,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_New_York_City,USA-New_York_City,FALSE
Newfoundland and Labrador,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Newfoundland_and_Labrador,CAN-NL,FALSE
"Niagara County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Niagara_County,_New_York","USA-Niagara_County,_New_York",FALSE
North Rhine-Westphalia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_North_Rhine-Westphalia,DEU-NW,FALSE
Nova Scotia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Nova_Scotia,CAN-NS,FALSE
Nunavut,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Nunavut,CAN-NU,FALSE
"Oneida County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Oneida_County,_New_York","USA-Oneida_County,_New_York",FALSE
"Onondaga County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Onondaga_County,_New_York","USA-Onondaga_County,_New_York",FALSE
Ontario,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Ontario,CAN-ON,FALSE
"Orange County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Orange_County,_New_York","USA-Orange_County,_New_York",FALSE
Philadelphia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Philadelphia,USA-Philadelphia,FALSE
"Portland, Oregon","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Portland,_Oregon","USA-Portland,_Oregon",FALSE
Prince Edward Island,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Prince_Edward_Island,CAN-PE,FALSE
"Putnam County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Putnam_County,_New_York","USA-Putnam_County,_New_York",FALSE
"Rensselaer County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Rensselaer_County,_New_York","USA-Rensselaer_County,_New_York",FALSE
"Saratoga County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Saratoga_County,_New_York","USA-Saratoga_County,_New_York",FALSE
Saskatchewan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Saskatchewan,CAN-SK,FALSE
"Schenectady County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Schenectady_County,_New_York","USA-Schenectady_County,_New_York",FALSE
Somaliland,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Somaliland,SOM,TRUE
South Sudan,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_South_Sudan,SSD,TRUE
"St. Lawrence County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_St._Lawrence_County,_New_York","USA-St._Lawrence_County,_New_York",FALSE
"Steuben County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Steuben_County,_New_York","USA-Steuben_County,_New_York",FALSE
"Suffolk County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Suffolk_County,_New_York","USA-Suffolk_County,_New_York",FALSE
"Sullivan County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Sullivan_County,_New_York","USA-Sullivan_County,_New_York",FALSE
Tamil Nadu,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Tamil_Nadu,IND-TN,FALSE
China,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Tibet,CHN-TB,TRUE
"Ulster County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Ulster_County,_New_York","USA-Ulster_County,_New_York",FALSE
"Warren County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Warren_County,_New_York","USA-Warren_County,_New_York",FALSE
Washington (state),https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Washington_(state),USA-WA,TRUE
"Washington, D.C.","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Washington,_D.C.",USA-DC,TRUE
"Westchester County, New York","https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Westchester_County,_New_York","USA-Westchester_County,_New_York",FALSE
Xinjiang,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Xinjiang,CHN-XI,FALSE
Canary Islands,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Canary_Islands,ESP-CN,FALSE
Cayman Islands,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Cayman_Islands,CYM,FALSE
Central African Republic,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Central_African_Republic,CAF,TRUE
Comoros,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Comoros,COM,TRUE
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Democratic_Republic_of_the_Congo,COD,TRUE
Dominican Republic,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Dominican_Republic,DOM,TRUE
Falkland Islands,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Falkland_Islands,FLK,FALSE
Gambia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Gambia,GMB,TRUE
Guantanamo Bay Naval Base,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Guantanamo_Bay_Naval_Base,USA-Guantanamo_Bay_Naval_Base,TRUE
Northern Mariana Islands,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Northern_Mariana_Islands,USA-Northern_Mariana_Islands,TRUE
Republic of the Congo,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Republic_of_the_Congo,COG,TRUE
Turks and Caicos Islands,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Turks_and_Caicos_Islands,TCA,FALSE
United States Virgin Islands,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_United_States_Virgin_Islands,USA-Virgin_Islands,TRUE
Lesotho,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Lesotho,LSO,TRUE
